AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL
A84,Denali West Lodge Private,"Denali, AK",30097,"Denali, AK"
A85,Big River Airport,"Big River, AK",30098,"Big River, AK"
A87,Carry Inlet Airport,"Carry Inlet, AK",30100,"Carry Inlet, AK"
A89,Montague Island Airport,"Montague Island, AK",30102,"Montague Island, AK"
A8K,Granite Point Ndb,"Granite Point, AK",35934,"Granite Point, AK"
A90,Shannon Pond Airport,"Shannon Pond, AK",30103,"Shannon Pond, AK"
A91,Omalik Lagoon Airport,"Omalik Lagoon, AK",30104,"Omalik Lagoon, AK"
A92,Omolik Lagoon Airport,"Omolik Lagoon, AK",30105,"Omolik Lagoon, AK"
A93,Bradley Lake Project Airport,"Bradley Lake Project, AK",30106,"Bradley Lake Project, AK"
A94,Ice Strip,"Barrow, AK",30107,"Barrow, AK"
A95,Ice Strip,"Barrow, AK",30107,"Barrow, AK"
A96,Ice Strip,"Barrow, AK",30107,"Barrow, AK"
A97,Akulik Air Strip,"Akulik, AK",30110,"Akulik, AK"
A98,Deadfall Air Strip,"Deadfall, AK",30111,"Deadfall, AK"
A99,Eagle Creek Airport,"Eagle Creek, AK",30112,"Eagle Creek, AK"
A9K,Era Denali Heliport,"Healy, AK",32141,"Healy, AK"
A9K,Temsco Helicopters Inc Heliport,"Healy, AK",32141,"Healy, AK"
AA1,Ice Kong,"Bethel, AK",30113,"Bethel, AK"
AA2,Icicle Seafoods,"Naknek-1, AK",36645,"Naknek-1, AK"
AA4,Glacier Split,"Kachemak Bay, AK",30116,"Kachemak Bay, AK"
AA5,Selby Lake Airport,"Selby Lake, AK",30117,"Selby Lake, AK"
AA7,Independence Creek Airport,"Independence Creek, AK",36466,"Independence Creek, AK"
AA8,Badami,"Deadhorse, AK",30073,"Deadhorse, AK"
AA9,Napaimute Pioneer Airfield,"Napaimute, AK",36776,"Napaimute, AK"
AAA,Anaa Airport,"Anaa, French Polynesia",30118,"Anaa, French Polynesia"
AAA,Anaa Airport,"Anaa, French Polynesia",30118,"Anaa, French Polynesia"
AAB,Arrabury Station,"Arrabury, Australia",30119,"Arrabury, Australia"
AAC,El Arish International,"El Arish, Egypt",30120,"El Arish, Egypt"
AAC,El Arish International,"El Arish, Egypt",30120,"El Arish, Egypt"
AAC,El Arish International,"El Arish, Egypt",30120,"El Arish, Egypt"
AAC,El Arish International,"El Arish, Egypt",30120,"El Arish, Egypt"
AAC,El Arish International,"El Arish, Egypt",30120,"El Arish, Egypt"
AAD,Ad-Dabbah Airport,"Ad-Dabbah, Sudan",36385,"Ad-Dabbah, Sudan"
AAE,Rabah Bitat,"Annaba, Algeria",30121,"Annaba, Algeria"
AAE,Rabah Bitat,"Annaba, Algeria",30121,"Annaba, Algeria"
AAE,Rabah Bitat,"Annaba, Algeria",30121,"Annaba, Algeria"
AAE,Rabah Bitat,"Annaba, Algeria",30121,"Annaba, Algeria"
AAF,Apalachicola Regional,"Apalachicola, FL",30122,"Apalachicola, FL"
AAF,Apalachicola Regional,"Apalachicola, FL",30122,"Apalachicola, FL"
AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",30122,"Apalachicola, FL"
AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",30122,"Apalachicola, FL"
AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",30122,"Apalachicola, FL"
AAH,Aachen Merzbruck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen Merzbrueck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen Merzbrueck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen Merzbrueck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen/Merzbruck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen/Merzbruck,"Aachen, Germany",30123,"Aachen, Germany"
AAH,Aachen/Merzbruck,"Aachen, West Germany",30123,"Aachen, West Germany"
AAI,Arraias Airport,"Arraias, Brazil",30124,"Arraias, Brazil"
AAI,Arraias Airport,"Arraias, Brazil",30124,"Arraias, Brazil"
AAI,Arraias Airport,"Arraias, Brazil",30124,"Arraias, Brazil"
AAI,Arraias Airport,"Arraias, Brazil",30124,"Arraias, Brazil"
AAI,Arraias Airport,"Arraias, Brazil",30124,"Arraias, Brazil"
AAL,Aalborg Airport,"Aalborg, Denmark",30125,"Aalborg, Denmark"
AAL,Aalborg Airport,"Aalborg, Denmark",30125,"Aalborg, Denmark"
AAL,Aalborg Airport,"Aalborg, Denmark",30125,"Aalborg, Denmark"
AAM,Malamala,"Mala Mala, South Africa",30126,"Mala Mala, South Africa"
AAM,Malamala,"Mala Mala, South Africa",30126,"Mala Mala, South Africa"
AAN,Al Ain International,"Al Ain, United Arab Emirates",30127,"Al Ain, United Arab Emirates"
AAN,Al Ain International,"Al Ain, United Arab Emirates",30127,"Al Ain, United Arab Emirates"
AAN,Al Ain International,"Al Ain, United Arab Emirates",30127,"Al Ain, United Arab Emirates"
AAO,Anaco Airport,"Anaco, Venezuela",30128,"Anaco, Venezuela"
AAO,Anaco Airport,"Anaco, Venezuela",30128,"Anaco, Venezuela"
AAO,Anaco Airport,"Anaco, Venezuela",30128,"Anaco, Venezuela"
AAO,Anaco Airport,"Anaco, Venezuela",30128,"Anaco, Venezuela"
AAO,Anaco Airport,"Anaco, Venezuela",30128,"Anaco, Venezuela"
AAQ,Anapa Airport,"Anapa, Russia",30129,"Anapa, Russia"
AAQ,Vityazevo,"Anapa, Russia",30129,"Anapa, Russia"
AAQ,Vityazevo,"Anapa, Russia",30129,"Anapa, Russia"
AAQ,Vityazevo,"Anapa, Russia",30129,"Anapa, Russia"
AAR,Aarhus Airport,"Aarhus, Denmark",30130,"Aarhus, Denmark"
AAR,Aarhus Airport,"Aarhus, Denmark",30130,"Aarhus, Denmark"
AAR,Tirstrup,"Aarhus, Denmark",30130,"Aarhus, Denmark"
AAR,Tirstrup,"Aarhus, Denmark",30130,"Aarhus, Denmark"
AAU,Asau W Sam,"Asau, Samoa",30131,"Asau, Samoa"
AAX,Araxa Airport,"Araxa, Brazil",30132,"Araxa, Brazil"
AAX,Araxa Airport,"Araxa, Brazil",30132,"Araxa, Brazil"
AAX,Romeu Zema,"Araxa, Brazil",30132,"Araxa, Brazil"
AAX,Romeu Zema,"Araxa, Brazil",30132,"Araxa, Brazil"
ABA,Abakan Airport,"Abakan, Russia",36387,"Abakan, Russia"
ABA,Abakan Airport,"Abakan, Russia",36387,"Abakan, Russia"
ABA,Abakan Airport,"Abakan, U.S.S.R.",36387,"Abakan, U.S.S.R."
ABC,Albacete Airport,"Albacete, Spain",36990,"Albacete, Spain"
ABD,Abadan Airport,"Abadan, Iran",30134,"Abadan, Iran"
ABD,Abadan Airport,"Abadan, Iran",30134,"Abadan, Iran"
ABD,Abadan Airport,"Abadan, Iran",30134,"Abadan, Iran"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",30135,"Allentown/Bethlehem/Easton, PA"
ABI,Abilene Regional,"Abilene, TX",30136,"Abilene, TX"
ABI,Abilene Regional,"Abilene, TX",30136,"Abilene, TX"
ABI,Abilene Regional,"Abilene, TX",30136,"Abilene, TX"
ABI,Abilene Regional,"Abilene, TX",30136,"Abilene, TX"
ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
ABJ,Abidjan Felix Houphouet Boigny International,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
